Codigo;univCompMas;Total;Comuna;Fraccion;Radio;CO_FRAC_RA;COFRAC
20110601;65;317;11;6;1;11_6_1;116
20110602;69;351;11;6;2;11_6_2;116
20110603;75;347;11;6;3;11_6_3;116
20110604;45;333;11;6;4;11_6_4;116
20110605;53;304;11;6;5;11_6_5;116
20110606;33;306;11;6;6;11_6_6;116
20110607;48;308;11;6;7;11_6_7;116
20110608;32;284;11;6;8;11_6_8;116
20110609;38;302;11;6;9;11_6_9;116
20110610;22;271;11;6;10;11_6_10;116
20110611;29;314;11;6;11;11_6_11;116
20110701;17;171;11;7;1;11_7_1;117
20110702;38;328;11;7;2;11_7_2;117
20110703;59;297;11;7;3;11_7_3;117
20110704;54;325;11;7;4;11_7_4;117
20110705;61;349;11;7;5;11_7_5;117
20110706;71;291;11;7;6;11_7_6;117
20110707;43;273;11;7;7;11_7_7;117
20110708;55;249;11;7;8;11_7_8;117
20110709;66;296;11;7;9;11_7_9;117
20110710;54;292;11;7;10;11_7_10;117
20110711;39;323;11;7;11;11_7_11;117
20110712;20;306;11;7;12;11_7_12;117
20110801;78;347;11;8;1;11_8_1;118
20110802;70;338;11;8;2;11_8_2;118
20110803;45;210;11;8;3;11_8_3;118
20110804;64;329;11;8;4;11_8_4;118
20110805;59;265;11;8;5;11_8_5;118
20110806;73;379;11;8;6;11_8_6;118
20110807;61;345;11;8;7;11_8_7;118
20110808;94;355;11;8;8;11_8_8;118
20110809;70;365;11;8;9;11_8_9;118
20110901;77;315;11;9;1;11_9_1;119
20110902;75;312;11;9;2;11_9_2;119
20110903;120;379;11;9;3;11_9_3;119
20110904;49;255;11;9;4;11_9_4;119
20110905;83;308;11;9;5;11_9_5;119
20110906;58;248;11;9;6;11_9_6;119
20110907;65;312;11;9;7;11_9_7;119
20110908;76;331;11;9;8;11_9_8;119
20110909;51;246;11;9;9;11_9_9;119
20110910;86;352;11;9;10;11_9_10;119
20110911;58;258;11;9;11;11_9_11;119
20110912;54;297;11;9;12;11_9_12;119
20111001;61;315;11;10;1;11_10_1;1110
20111002;86;384;11;10;2;11_10_2;1110
20111003;71;317;11;10;3;11_10_3;1110
20111004;106;364;11;10;4;11_10_4;1110
20111005;97;386;11;10;5;11_10_5;1110
20111006;120;458;11;10;6;11_10_6;1110
20111007;85;401;11;10;7;11_10_7;1110
20111008;65;318;11;10;8;11_10_8;1110
20111009;75;320;11;10;9;11_10_9;1110
20111010;52;281;11;10;10;11_10_10;1110
20111101;31;293;11;11;1;11_11_1;1111
20111102;61;309;11;11;2;11_11_2;1111
20111103;36;325;11;11;3;11_11_3;1111
20111104;12;102;11;11;4;11_11_4;1111
20111105;54;335;11;11;5;11_11_5;1111
20111106;65;396;11;11;6;11_11_6;1111
20111107;45;305;11;11;7;11_11_7;1111
20111108;34;315;11;11;8;11_11_8;1111
20111109;37;296;11;11;9;11_11_9;1111
20111201;47;233;11;12;1;11_12_1;1112
20111202;43;236;11;12;2;11_12_2;1112
20111203;75;360;11;12;3;11_12_3;1112
20111204;46;272;11;12;4;11_12_4;1112
20111205;49;245;11;12;5;11_12_5;1112
20111206;67;320;11;12;6;11_12_6;1112
20111207;42;259;11;12;7;11_12_7;1112
20111208;54;272;11;12;8;11_12_8;1112
20111209;35;240;11;12;9;11_12_9;1112
20111210;44;261;11;12;10;11_12_10;1112
20111301;74;346;11;13;1;11_13_1;1113
20111302;74;387;11;13;2;11_13_2;1113
20111303;64;321;11;13;3;11_13_3;1113
20111304;63;345;11;13;4;11_13_4;1113
20111305;77;393;11;13;5;11_13_5;1113
20111306;80;373;11;13;6;11_13_6;1113
20111307;63;299;11;13;7;11_13_7;1113
20111308;70;281;11;13;8;11_13_8;1113
20111309;84;371;11;13;9;11_13_9;1113
20111310;56;250;11;13;10;11_13_10;1113
20111311;57;336;11;13;11;11_13_11;1113
20111401;64;364;11;14;1;11_14_1;1114
20111402;54;332;11;14;2;11_14_2;1114
20111403;55;365;11;14;3;11_14_3;1114
20111404;35;279;11;14;4;11_14_4;1114
20111405;71;328;11;14;5;11_14_5;1114
20111406;56;409;11;14;6;11_14_6;1114
20111407;110;696;11;14;7;11_14_7;1114
20111501;47;349;11;15;1;11_15_1;1115
20111502;46;324;11;15;2;11_15_2;1115
20111503;48;368;11;15;3;11_15_3;1115
20111504;80;356;11;15;4;11_15_4;1115
20111505;56;329;11;15;5;11_15_5;1115
20111506;48;313;11;15;6;11_15_6;1115
20111507;59;281;11;15;7;11_15_7;1115
20111508;56;372;11;15;8;11_15_8;1115
20111509;55;337;11;15;9;11_15_9;1115
20111510;61;331;11;15;10;11_15_10;1115
20111511;64;434;11;15;11;11_15_11;1115
20111601;49;319;11;16;1;11_16_1;1116
20111602;66;359;11;16;2;11_16_2;1116
20111603;37;267;11;16;3;11_16_3;1116
20111604;37;252;11;16;4;11_16_4;1116
20111605;34;288;11;16;5;11_16_5;1116
20111606;66;335;11;16;6;11_16_6;1116
20111607;42;350;11;16;7;11_16_7;1116
20111608;65;393;11;16;8;11_16_8;1116
20111609;36;256;11;16;9;11_16_9;1116
20111610;39;236;11;16;10;11_16_10;1116
20111701;43;290;11;17;1;11_17_1;1117
20111702;37;286;11;17;2;11_17_2;1117
20111703;50;336;11;17;3;11_17_3;1117
20111704;39;324;11;17;4;11_17_4;1117
20111705;43;297;11;17;5;11_17_5;1117
20111706;50;408;11;17;6;11_17_6;1117
20111707;46;331;11;17;7;11_17_7;1117
20111708;45;322;11;17;8;11_17_8;1117
20111801;36;279;11;18;1;11_18_1;1118
20111802;43;303;11;18;2;11_18_2;1118
20111803;53;310;11;18;3;11_18_3;1118
20111804;57;370;11;18;4;11_18_4;1118
20111805;55;318;11;18;5;11_18_5;1118
20111806;107;521;11;18;6;11_18_6;1118
20111807;28;324;11;18;7;11_18_7;1118
20111808;36;346;11;18;8;11_18_8;1118
20111809;32;304;11;18;9;11_18_9;1118
20111901;39;221;11;19;1;11_19_1;1119
20111902;41;322;11;19;2;11_19_2;1119
20111903;40;280;11;19;3;11_19_3;1119
20111904;43;339;11;19;4;11_19_4;1119
20111905;39;306;11;19;5;11_19_5;1119
20111906;38;341;11;19;6;11_19_6;1119
20111907;46;319;11;19;7;11_19_7;1119
20111908;37;301;11;19;8;11_19_8;1119
20111909;52;348;11;19;9;11_19_9;1119
20112001;49;356;11;20;1;11_20_1;1120
20112002;41;317;11;20;2;11_20_2;1120
20112003;46;389;11;20;3;11_20_3;1120
20112004;44;303;11;20;4;11_20_4;1120
20112005;57;328;11;20;5;11_20_5;1120
20112006;36;267;11;20;6;11_20_6;1120
20112007;40;232;11;20;7;11_20_7;1120
20112008;26;191;11;20;8;11_20_8;1120
20112009;82;260;11;20;9;11_20_9;1120
20112010;50;292;11;20;10;11_20_10;1120
20112011;32;252;11;20;11;11_20_11;1120
20112101;43;323;11;21;1;11_21_1;1121
20112102;32;271;11;21;2;11_21_2;1121
20112103;67;423;11;21;3;11_21_3;1121
20112104;49;318;11;21;4;11_21_4;1121
20112105;63;391;11;21;5;11_21_5;1121
20112106;29;385;11;21;6;11_21_6;1121
20112107;38;270;11;21;7;11_21_7;1121
20112108;33;256;11;21;8;11_21_8;1121
20112109;38;218;11;21;9;11_21_9;1121
20112110;47;292;11;21;10;11_21_10;1121
20112111;57;375;11;21;11;11_21_11;1121
20112201;62;346;11;22;1;11_22_1;1122
20112202;42;358;11;22;2;11_22_2;1122
20112203;61;360;11;22;3;11_22_3;1122
20112204;28;265;11;22;4;11_22_4;1122
20112205;54;310;11;22;5;11_22_5;1122
20112206;64;409;11;22;6;11_22_6;1122
20112207;67;345;11;22;7;11_22_7;1122
20112208;42;269;11;22;8;11_22_8;1122
20112209;48;269;11;22;9;11_22_9;1122
20112210;52;307;11;22;10;11_22_10;1122
20112211;50;248;11;22;11;11_22_11;1122
20120101;46;191;12;1;1;12_1_1;121
20120102;51;196;12;1;2;12_1_2;121
20120103;41;187;12;1;3;12_1_3;121
20120104;47;313;12;1;4;12_1_4;121
20120105;30;217;12;1;5;12_1_5;121
20120106;38;286;12;1;6;12_1_6;121
20120107;102;360;12;1;7;12_1_7;121
20120108;29;182;12;1;8;12_1_8;121
20120109;53;356;12;1;9;12_1_9;121
20120110;59;361;12;1;10;12_1_10;121
20120111;56;374;12;1;11;12_1_11;121
20120201;48;371;12;2;1;12_2_1;122
20120202;53;316;12;2;2;12_2_2;122
20120203;54;394;12;2;3;12_2_3;122
20120204;84;379;12;2;4;12_2_4;122
20120205;78;401;12;2;5;12_2_5;122
20120206;52;344;12;2;6;12_2_6;122
20120207;40;319;12;2;7;12_2_7;122
20120208;61;345;12;2;8;12_2_8;122
20120301;11;104;12;3;1;12_3_1;123
20120302;33;250;12;3;2;12_3_2;123
20120303;49;270;12;3;3;12_3_3;123
20120304;58;268;12;3;4;12_3_4;123
20120305;45;292;12;3;5;12_3_5;123
20120306;1;451;12;3;6;12_3_6;123
20120307;64;378;12;3;7;12_3_7;123
20120308;34;253;12;3;8;12_3_8;123
20120309;40;223;12;3;9;12_3_9;123
20120310;92;306;12;3;10;12_3_10;123
20120311;63;290;12;3;11;12_3_11;123
20120401;58;277;12;4;1;12_4_1;124
20120402;53;287;12;4;2;12_4_2;124
20120403;90;418;12;4;3;12_4_3;124
20120404;83;295;12;4;4;12_4_4;124
20120405;55;249;12;4;5;12_4_5;124
20120406;70;297;12;4;6;12_4_6;124
20120407;137;500;12;4;7;12_4_7;124
20120408;84;290;12;4;8;12_4_8;124
20120409;52;224;12;4;9;12_4_9;124
20120410;60;243;12;4;10;12_4_10;124
20120501;53;212;12;5;1;12_5_1;125
20120502;61;283;12;5;2;12_5_2;125
20120503;206;543;12;5;3;12_5_3;125
20120504;95;277;12;5;4;12_5_4;125
20120505;90;348;12;5;5;12_5_5;125
20120506;84;301;12;5;6;12_5_6;125
20120507;98;327;12;5;7;12_5_7;125
20120508;143;421;12;5;8;12_5_8;125
20120509;71;311;12;5;9;12_5_9;125
20120510;73;284;12;5;10;12_5_10;125
20120511;83;332;12;5;11;12_5_11;125
20120601;63;320;12;6;1;12_6_1;126
20120602;50;353;12;6;2;12_6_2;126
20120603;58;257;12;6;3;12_6_3;126
20120604;85;349;12;6;4;12_6_4;126
20120605;92;387;12;6;5;12_6_5;126
20120606;92;380;12;6;6;12_6_6;126
20120607;69;332;12;6;7;12_6_7;126
20120608;70;288;12;6;8;12_6_8;126
20120609;68;302;12;6;9;12_6_9;126
20120610;61;317;12;6;10;12_6_10;126
20120701;61;318;12;7;1;12_7_1;127
20120702;83;310;12;7;2;12_7_2;127
20120703;85;325;12;7;3;12_7_3;127
20120704;102;359;12;7;4;12_7_4;127
20120705;92;290;12;7;5;12_7_5;127
20120706;80;347;12;7;6;12_7_6;127
20120707;86;301;12;7;7;12_7_7;127
20120708;105;365;12;7;8;12_7_8;127
20120709;187;557;12;7;9;12_7_9;127
20120710;144;476;12;7;10;12_7_10;127
20120801;167;548;12;8;1;12_8_1;128
20120802;72;273;12;8;2;12_8_2;128
20120803;98;326;12;8;3;12_8_3;128
20120804;78;263;12;8;4;12_8_4;128
20120805;67;344;12;8;5;12_8_5;128
20120806;98;352;12;8;6;12_8_6;128
20120807;106;364;12;8;7;12_8_7;128
20120808;149;415;12;8;8;12_8_8;128
20120809;142;396;12;8;9;12_8_9;128
20120810;115;290;12;8;10;12_8_10;128
20120811;98;262;12;8;11;12_8_11;128
20120901;54;331;12;9;1;12_9_1;129
20120902;70;420;12;9;2;12_9_2;129
20120903;61;385;12;9;3;12_9_3;129
20120904;76;392;12;9;4;12_9_4;129
20120905;47;358;12;9;5;12_9_5;129
20120906;66;377;12;9;6;12_9_6;129
20120907;53;308;12;9;7;12_9_7;129
20121001;77;366;12;10;1;12_10_1;1210
20121002;95;390;12;10;2;12_10_2;1210
20121003;51;287;12;10;3;12_10_3;1210
20121004;60;270;12;10;4;12_10_4;1210
20121005;88;298;12;10;5;12_10_5;1210
20121006;72;353;12;10;6;12_10_6;1210
20121007;72;295;12;10;7;12_10_7;1210
20121008;130;477;12;10;8;12_10_8;1210
20121009;66;318;12;10;9;12_10_9;1210
20121010;51;299;12;10;10;12_10_10;1210
20121011;88;345;12;10;11;12_10_11;1210
20121101;69;328;12;11;1;12_11_1;1211
20121102;41;267;12;11;2;12_11_2;1211
20121103;36;254;12;11;3;12_11_3;1211
20121104;84;343;12;11;4;12_11_4;1211
20121105;49;308;12;11;5;12_11_5;1211
20121106;80;319;12;11;6;12_11_6;1211
20121107;86;330;12;11;7;12_11_7;1211
20121108;106;344;12;11;8;12_11_8;1211
20121109;115;373;12;11;9;12_11_9;1211
20121110;103;283;12;11;10;12_11_10;1211
20121111;67;278;12;11;11;12_11_11;1211
20121201;62;272;12;12;1;12_12_1;1212
20121202;160;501;12;12;2;12_12_2;1212
20121203;158;509;12;12;3;12_12_3;1212
20121204;72;357;12;12;4;12_12_4;1212
20121205;93;329;12;12;5;12_12_5;1212
20121206;75;260;12;12;6;12_12_6;1212
20121207;69;386;12;12;7;12_12_7;1212
20121208;56;267;12;12;8;12_12_8;1212
20121301;106;407;12;13;1;12_13_1;1213
20121302;81;389;12;13;2;12_13_2;1213
20121303;234;721;12;13;3;12_13_3;1213
20121304;126;526;12;13;4;12_13_4;1213
20121305;132;475;12;13;5;12_13_5;1213
20121306;95;395;12;13;6;12_13_6;1213
20121307;46;249;12;13;7;12_13_7;1213
20121401;78;373;12;14;1;12_14_1;1214
20121402;99;400;12;14;2;12_14_2;1214
20121403;104;308;12;14;3;12_14_3;1214
20121404;115;407;12;14;4;12_14_4;1214
20121405;117;421;12;14;5;12_14_5;1214
20121406;109;318;12;14;6;12_14_6;1214
20121407;121;432;12;14;7;12_14_7;1214
20121408;152;469;12;14;8;12_14_8;1214
20121409;107;324;12;14;9;12_14_9;1214
20121410;121;441;12;14;10;12_14_10;1214
20121501;69;378;12;15;1;12_15_1;1215
20121502;97;422;12;15;2;12_15_2;1215
20121503;114;420;12;15;3;12_15_3;1215
20121504;108;418;12;15;4;12_15_4;1215
20121505;119;393;12;15;5;12_15_5;1215
20121506;107;343;12;15;6;12_15_6;1215
20121507;124;383;12;15;7;12_15_7;1215
20121508;91;364;12;15;8;12_15_8;1215
20121509;133;426;12;15;9;12_15_9;1215
20121510;50;297;12;15;10;12_15_10;1215
20121511;80;272;12;15;11;12_15_11;1215
20121512;77;284;12;15;12;12_15_12;1215
20121513;89;262;12;15;13;12_15_13;1215
20121601;107;395;12;16;1;12_16_1;1216
20121602;88;363;12;16;2;12_16_2;1216
20121603;100;359;12;16;3;12_16_3;1216
20121604;134;521;12;16;4;12_16_4;1216
20121605;170;618;12;16;5;12_16_5;1216
20121606;206;647;12;16;6;12_16_6;1216
20121607;62;339;12;16;7;12_16_7;1216
20121608;139;528;12;16;8;12_16_8;1216
20121609;118;362;12;16;9;12_16_9;1216
20121610;64;330;12;16;10;12_16_10;1216
20121611;74;334;12;16;11;12_16_11;1216
20121612;66;316;12;16;12;12_16_12;1216
20121613;45;202;12;16;13;12_16_13;1216
20121614;26;175;12;16;14;12_16_14;1216
20121701;51;355;12;17;1;12_17_1;1217
20121702;61;380;12;17;2;12_17_2;1217
20121703;62;333;12;17;3;12_17_3;1217
20121704;63;306;12;17;4;12_17_4;1217
20121705;89;437;12;17;5;12_17_5;1217
20121706;81;414;12;17;6;12_17_6;1217
20121707;63;373;12;17;7;12_17_7;1217
20121708;136;557;12;17;8;12_17_8;1217
20121801;35;231;12;18;1;12_18_1;1218
20121802;41;323;12;18;2;12_18_2;1218
20121803;39;318;12;18;3;12_18_3;1218
20121804;36;308;12;18;4;12_18_4;1218
20121805;43;301;12;18;5;12_18_5;1218
20121806;37;312;12;18;6;12_18_6;1218
20121807;42;336;12;18;7;12_18_7;1218
20121808;41;328;12;18;8;12_18_8;1218
20121809;52;290;12;18;9;12_18_9;1218
20121810;51;284;12;18;10;12_18_10;1218
20121811;50;238;12;18;11;12_18_11;1218
20121812;106;436;12;18;12;12_18_12;1218
20121813;59;306;12;18;13;12_18_13;1218
20121901;18;352;12;19;1;12_19_1;1219
20121902;23;225;12;19;2;12_19_2;1219
20121903;24;283;12;19;3;12_19_3;1219
20121904;36;367;12;19;4;12_19_4;1219
20121905;62;406;12;19;5;12_19_5;1219
20121906;54;356;12;19;6;12_19_6;1219
20121907;55;346;12;19;7;12_19_7;1219
20121908;79;351;12;19;8;12_19_8;1219
20121909;54;316;12;19;9;12_19_9;1219
20121910;72;360;12;19;10;12_19_10;1219
20121911;59;372;12;19;11;12_19_11;1219
20121912;66;333;12;19;12;12_19_12;1219
20121913;57;286;12;19;13;12_19_13;1219
20122001;59;317;12;20;1;12_20_1;1220
20122002;120;559;12;20;2;12_20_2;1220
20122003;85;411;12;20;3;12_20_3;1220
20122004;96;391;12;20;4;12_20_4;1220
20122005;95;382;12;20;5;12_20_5;1220
20122006;65;407;12;20;6;12_20_6;1220
20122007;48;346;12;20;7;12_20_7;1220
20122008;53;366;12;20;8;12_20_8;1220
20122101;99;467;12;21;1;12_21_1;1221
20122102;92;476;12;21;2;12_21_2;1221
20122103;69;360;12;21;3;12_21_3;1221
20122104;82;421;12;21;4;12_21_4;1221
20122105;57;297;12;21;5;12_21_5;1221
20122106;66;326;12;21;6;12_21_6;1221
20122107;64;340;12;21;7;12_21_7;1221
20122108;69;319;12;21;8;12_21_8;1221
20122109;43;286;12;21;9;12_21_9;1221
20122110;34;258;12;21;10;12_21_10;1221
20122201;51;294;12;22;1;12_22_1;1222
20122202;60;362;12;22;2;12_22_2;1222
20122203;39;299;12;22;3;12_22_3;1222
20122204;47;299;12;22;4;12_22_4;1222
20122205;72;435;12;22;5;12_22_5;1222
20122206;65;448;12;22;6;12_22_6;1222
20122207;95;459;12;22;7;12_22_7;1222
20122208;77;365;12;22;8;12_22_8;1222
20122209;91;365;12;22;9;12_22_9;1222
20122210;69;370;12;22;10;12_22_10;1222
20122211;93;371;12;22;11;12_22_11;1222
20130101;74;296;13;1;1;13_1_1;131
20130102;127;343;13;1;2;13_1_2;131
20130103;81;258;13;1;3;13_1_3;131
20130104;134;367;13;1;4;13_1_4;131
20130105;213;421;13;1;5;13_1_5;131
20130106;163;386;13;1;6;13_1_6;131
20130107;83;185;13;1;7;13_1_7;131
20130108;85;241;13;1;8;13_1_8;131
20130109;65;218;13;1;9;13_1_9;131
20130110;95;314;13;1;10;13_1_10;131
20130111;107;300;13;1;11;13_1_11;131
20130112;74;246;13;1;12;13_1_12;131
20130113;85;245;13;1;13;13_1_13;131
20130114;67;283;13;1;14;13_1_14;131
20130201;144;545;13;2;1;13_2_1;132
20130202;108;359;13;2;2;13_2_2;132
20130203;60;259;13;2;3;13_2_3;132
20130204;79;239;13;2;4;13_2_4;132
20130205;150;330;13;2;5;13_2_5;132
20130206;203;470;13;2;6;13_2_6;132
20130207;87;300;13;2;7;13_2_7;132
20130208;98;253;13;2;8;13_2_8;132
20130209;177;396;13;2;9;13_2_9;132
20130210;166;468;13;2;10;13_2_10;132
20130211;121;293;13;2;11;13_2_11;132
20130301;136;377;13;3;1;13_3_1;133
20130302;99;271;13;3;2;13_3_2;133
20130303;99;353;13;3;3;13_3_3;133
20130304;172;433;13;3;4;13_3_4;133
20130305;103;312;13;3;5;13_3_5;133
20130306;102;271;13;3;6;13_3_6;133
20130307;100;290;13;3;7;13_3_7;133
20130308;91;278;13;3;8;13_3_8;133
20130309;120;354;13;3;9;13_3_9;133
20130310;176;448;13;3;10;13_3_10;133
20130401;81;291;13;4;1;13_4_1;134
20130402;117;350;13;4;2;13_4_2;134
20130403;95;304;13;4;3;13_4_3;134
20130404;103;430;13;4;4;13_4_4;134
20130405;100;363;13;4;5;13_4_5;134
20130406;125;400;13;4;6;13_4_6;134
20130407;99;296;13;4;7;13_4_7;134
20130408;81;265;13;4;8;13_4_8;134
20130409;92;341;13;4;9;13_4_9;134
20130410;54;237;13;4;10;13_4_10;134
20130411;110;370;13;4;11;13_4_11;134
20130412;235;613;13;4;12;13_4_12;134
20130413;107;337;13;4;13;13_4_13;134
20130414;94;327;13;4;14;13_4_14;134
20130501;98;344;13;5;1;13_5_1;135
20130502;113;403;13;5;2;13_5_2;135
20130503;172;530;13;5;3;13_5_3;135
20130504;133;478;13;5;4;13_5_4;135
20130505;116;359;13;5;5;13_5_5;135
20130506;189;437;13;5;6;13_5_6;135
20130507;119;327;13;5;7;13_5_7;135
20130508;182;417;13;5;8;13_5_8;135
20130601;67;283;13;6;1;13_6_1;136
20130602;144;425;13;6;2;13_6_2;136
20130603;118;369;13;6;3;13_6_3;136
20130604;149;419;13;6;4;13_6_4;136
20130605;139;454;13;6;5;13_6_5;136
20130606;108;368;13;6;6;13_6_6;136
20130607;132;425;13;6;7;13_6_7;136
20130608;93;339;13;6;8;13_6_8;136
20130701;76;271;13;7;1;13_7_1;137
20130702;62;221;13;7;2;13_7_2;137
20130703;160;457;13;7;3;13_7_3;137
20130704;114;344;13;7;4;13_7_4;137
20130705;135;476;13;7;5;13_7_5;137
20130706;121;381;13;7;6;13_7_6;137
20130707;120;346;13;7;7;13_7_7;137
20130708;112;309;13;7;8;13_7_8;137
20130709;146;373;13;7;9;13_7_9;137
20130801;115;314;13;8;1;13_8_1;138
20130802;95;275;13;8;2;13_8_2;138
20130803;149;411;13;8;3;13_8_3;138
20130804;162;388;13;8;4;13_8_4;138
20130805;197;452;13;8;5;13_8_5;138
20130806;112;295;13;8;6;13_8_6;138
20130807;121;364;13;8;7;13_8_7;138
20130808;135;439;13;8;8;13_8_8;138
20130809;110;326;13;8;9;13_8_9;138
20130810;89;292;13;8;10;13_8_10;138
20130901;101;287;13;9;1;13_9_1;139
20130902;103;303;13;9;2;13_9_2;139
20130903;83;247;13;9;3;13_9_3;139
20130904;94;293;13;9;4;13_9_4;139
20130905;214;488;13;9;5;13_9_5;139
20130906;116;320;13;9;6;13_9_6;139
20130907;124;296;13;9;7;13_9_7;139
20130908;138;344;13;9;8;13_9_8;139
20130909;164;363;13;9;9;13_9_9;139
20130910;82;239;13;9;10;13_9_10;139
20131001;159;415;13;10;1;13_10_1;1310
20131002;176;404;13;10;2;13_10_2;1310
20131003;137;427;13;10;3;13_10_3;1310
20131004;161;417;13;10;4;13_10_4;1310
20131005;78;252;13;10;5;13_10_5;1310
20131006;134;388;13;10;6;13_10_6;1310
20131007;125;321;13;10;7;13_10_7;1310
20131008;143;432;13;10;8;13_10_8;1310
20131009;81;325;13;10;9;13_10_9;1310
20131010;109;424;13;10;10;13_10_10;1310
20131011;95;314;13;10;11;13_10_11;1310
20131101;77;172;13;11;1;13_11_1;1311
20131102;101;241;13;11;2;13_11_2;1311
20131103;73;208;13;11;3;13_11_3;1311
20131104;85;230;13;11;4;13_11_4;1311
20131105;65;222;13;11;5;13_11_5;1311
20131106;150;408;13;11;6;13_11_6;1311
20131107;103;284;13;11;7;13_11_7;1311
20131201;99;277;13;12;1;13_12_1;1312
20131202;125;320;13;12;2;13_12_2;1312
20131203;83;237;13;12;3;13_12_3;1312
20131204;198;352;13;12;4;13_12_4;1312
20131205;121;221;13;12;5;13_12_5;1312
20131206;81;241;13;12;6;13_12_6;1312
20131207;87;341;13;12;7;13_12_7;1312
20131208;90;282;13;12;8;13_12_8;1312
20131209;178;384;13;12;9;13_12_9;1312
20131210;73;253;13;12;10;13_12_10;1312
20131301;203;379;13;13;1;13_13_1;1313
20131302;29;155;13;13;2;13_13_2;1313
20131303;87;322;13;13;3;13_13_3;1313
20131304;132;394;13;13;4;13_13_4;1313
20131305;126;411;13;13;5;13_13_5;1313
20131306;33;132;13;13;6;13_13_6;1313
20131307;110;305;13;13;7;13_13_7;1313
20131308;131;249;13;13;8;13_13_8;1313
20131309;145;287;13;13;9;13_13_9;1313
20131310;170;358;13;13;10;13_13_10;1313
20131311;110;215;13;13;11;13_13_11;1313
20131312;179;327;13;13;12;13_13_12;1313
20131313;251;556;13;13;13;13_13_13;1313
20131314;149;349;13;13;14;13_13_14;1313
20131401;161;341;13;14;1;13_14_1;1314
20131402;62;165;13;14;2;13_14_2;1314
20131403;129;367;13;14;3;13_14_3;1314
20131404;124;291;13;14;4;13_14_4;1314
20131405;82;228;13;14;5;13_14_5;1314
20131406;153;363;13;14;6;13_14_6;1314
20131407;69;165;13;14;7;13_14_7;1314
20131408;108;254;13;14;8;13_14_8;1314
20131409;104;238;13;14;9;13_14_9;1314
20131410;155;298;13;14;10;13_14_10;1314
20131411;149;284;13;14;11;13_14_11;1314
20131501;108;350;13;15;1;13_15_1;1315
20131502;121;361;13;15;2;13_15_2;1315
20131503;112;351;13;15;3;13_15_3;1315
20131504;67;199;13;15;4;13_15_4;1315
20131505;130;391;13;15;5;13_15_5;1315
20131506;106;281;13;15;6;13_15_6;1315
20131507;124;383;13;15;7;13_15_7;1315
20131508;131;372;13;15;8;13_15_8;1315
20131509;140;416;13;15;9;13_15_9;1315
20131510;94;331;13;15;10;13_15_10;1315
20131511;95;369;13;15;11;13_15_11;1315
20131512;125;328;13;15;12;13_15_12;1315
20131601;121;392;13;16;1;13_16_1;1316
20131602;137;430;13;16;2;13_16_2;1316
20131603;73;252;13;16;3;13_16_3;1316
20131604;124;368;13;16;4;13_16_4;1316
20131605;67;252;13;16;5;13_16_5;1316
20131606;40;183;13;16;6;13_16_6;1316
20131607;115;369;13;16;7;13_16_7;1316
20131608;118;352;13;16;8;13_16_8;1316
20131609;136;380;13;16;9;13_16_9;1316
20131610;116;391;13;16;10;13_16_10;1316
20131611;116;381;13;16;11;13_16_11;1316
20131612;106;347;13;16;12;13_16_12;1316
20131613;77;223;13;16;13;13_16_13;1316
20131701;129;476;13;17;1;13_17_1;1317
20131702;170;472;13;17;2;13_17_2;1317
20131703;120;389;13;17;3;13_17_3;1317
20131704;83;247;13;17;4;13_17_4;1317
20131705;107;345;13;17;5;13_17_5;1317
20131706;135;360;13;17;6;13_17_6;1317
20131707;153;386;13;17;7;13_17_7;1317
20131708;116;316;13;17;8;13_17_8;1317
20131709;166;403;13;17;9;13_17_9;1317
20131710;172;398;13;17;10;13_17_10;1317
20131711;83;247;13;17;11;13_17_11;1317
20131801;82;334;13;18;1;13_18_1;1318
20131802;118;407;13;18;2;13_18_2;1318
20131803;118;397;13;18;3;13_18_3;1318
20131804;99;294;13;18;4;13_18_4;1318
20131805;124;282;13;18;5;13_18_5;1318
20131806;107;302;13;18;6;13_18_6;1318
20131807;180;383;13;18;7;13_18_7;1318
20131808;145;280;13;18;8;13_18_8;1318
20131809;83;170;13;18;9;13_18_9;1318
20131810;117;275;13;18;10;13_18_10;1318
20131901;125;340;13;19;1;13_19_1;1319
20131902;148;397;13;19;2;13_19_2;1319
20131903;124;295;13;19;3;13_19_3;1319
20131904;99;227;13;19;4;13_19_4;1319
20131905;163;367;13;19;5;13_19_5;1319
20131906;62;215;13;19;6;13_19_6;1319
20131907;104;257;13;19;7;13_19_7;1319
20131908;126;329;13;19;8;13_19_8;1319
20131909;139;332;13;19;9;13_19_9;1319
20131910;134;312;13;19;10;13_19_10;1319
20131911;78;193;13;19;11;13_19_11;1319
20131912;113;268;13;19;12;13_19_12;1319
20132001;112;301;13;20;1;13_20_1;1320
20132002;143;394;13;20;2;13_20_2;1320
20132003;73;175;13;20;3;13_20_3;1320
20132004;122;316;13;20;4;13_20_4;1320
20132005;106;312;13;20;5;13_20_5;1320
20132006;149;428;13;20;6;13_20_6;1320
20132007;149;372;13;20;7;13_20_7;1320
20132008;152;386;13;20;8;13_20_8;1320
20132009;87;258;13;20;9;13_20_9;1320
20132010;93;272;13;20;10;13_20_10;1320
20132011;121;261;13;20;11;13_20_11;1320
20132012;106;277;13;20;12;13_20_12;1320
20132101;115;244;13;21;1;13_21_1;1321
20132102;50;149;13;21;2;13_21_2;1321
