category,min,max,mean,stddev,sum,count
1414,194.0,483.0,328.727272727,115.754128142,3616.0,11
1415,319.0,888.0,439.75,186.532073075,3518.0,8
1416,122.0,591.0,380.428571429,151.4825151,2663.0,7
1417,208.0,623.0,353.75,121.787578536,2830.0,8
1322,220.0,455.0,317.888888889,91.1844894218,2861.0,9
1323,236.0,546.0,373.636363636,120.958896099,4110.0,11
1320,175.0,428.0,312.666666667,71.6675827989,3752.0,12
1321,149.0,450.0,304.5,82.1235519067,3045.0,10
1326,189.0,436.0,295.636363636,80.4167553776,3252.0,11
1327,175.0,529.0,390.333333333,104.042058803,3513.0,9
1324,198.0,381.0,307.2,57.6595371315,3072.0,10
1325,222.0,504.0,320.75,92.8420317375,2566.0,8
1120,191.0,389.0,289.727272727,57.0440021546,3187.0,11
1121,218.0,423.0,320.181818182,65.6487900602,3522.0,11
1122,248.0,409.0,316.909090909,50.8339542933,3486.0,11
1329,208.0,420.0,306.0,63.3545578471,3366.0,11
317,208.0,384.0,310.444444444,51.103109277,2794.0,9
316,178.0,507.0,350.333333333,107.796103826,3153.0,9
315,117.0,617.0,373.777777778,157.193970764,3364.0,9
314,43.0,514.0,332.7,127.906259077,3327.0,10
115,170.0,353.0,285.19047619,52.369474933,5989.0,21
114,39.0,352.0,255.12,61.8333243486,6378.0,25
117,171.0,390.0,293.739130435,48.3558940577,6756.0,23
116,139.0,475.0,282.173913043,82.454754631,6490.0,23
111,126.0,407.0,282.307692308,63.4392744163,7340.0,26
110,112.0,515.0,250.357142857,109.668456402,3505.0,14
113,0.0,663.0,212.185185185,126.440024407,5729.0,27
112,91.0,389.0,253.652173913,96.3745575137,5834.0,23
82,161.0,404.0,255.8,88.2582070468,2558.0,10
83,144.0,570.0,324.9,152.373408295,3249.0,10
72,245.0,660.0,368.0,121.173429431,3312.0,9
52,222.0,461.0,326.0,77.5822144567,3586.0,11
119,147.0,500.0,294.476190476,81.2038293725,6184.0,21
118,210.0,507.0,337.166666667,65.7412485788,6069.0,18
521,209.0,378.0,286.454545455,60.1753498309,3151.0,11
85,201.0,411.0,291.090909091,53.1308847008,3202.0,11
414,208.0,495.0,308.333333333,88.3685464405,2775.0,9
415,188.0,624.0,310.8,135.558761346,3108.0,10
910,170.0,342.0,278.166666667,53.2743044549,3338.0,12
520,288.0,410.0,332.083333333,38.6063073823,3985.0,12
71,172.0,419.0,275.7,72.4738266932,2757.0,10
1018,184.0,459.0,296.75,81.7469765913,3561.0,12
1019,215.0,436.0,340.25,65.0735597752,4083.0,12
522,218.0,724.0,322.461538462,126.825086494,4192.0,13
1014,205.0,341.0,293.0,42.7083130081,3223.0,11
1015,202.0,459.0,296.0,82.9804193771,2664.0,9
1016,271.0,408.0,332.111111111,47.7635960865,2989.0,9
1017,239.0,378.0,314.1,53.0418074101,3141.0,10
1010,254.0,350.0,307.083333333,32.3179047851,3685.0,12
1011,183.0,433.0,329.454545455,71.0737133353,3624.0,11
1012,189.0,370.0,277.5,59.6643388745,2775.0,10
1013,226.0,315.0,266.0,25.7576114082,3192.0,12
420,211.0,471.0,298.583333333,70.2028985847,3583.0,12
421,190.0,294.0,249.916666667,30.1132961673,2999.0,12
108,264.0,428.0,356.666666667,63.4822809924,3210.0,9
109,250.0,343.0,300.8,29.8209471494,3008.0,10
614,219.0,531.0,359.5,104.678608661,3595.0,10
311,284.0,454.0,380.5,57.760589629,3044.0,8
102,245.0,393.0,313.0,49.0684652879,2504.0,8
103,218.0,344.0,283.75,46.7783527469,2270.0,8
101,250.0,353.0,302.0,43.7721372565,2416.0,8
106,231.0,422.0,321.461538462,59.8548457863,4179.0,13
107,339.0,515.0,404.2,55.8187543155,4042.0,10
104,235.0,402.0,305.666666667,51.1150662721,2751.0,9
105,243.0,357.0,295.928571429,37.0663942462,4143.0,14
39,196.0,414.0,307.3,77.1564788091,3073.0,10
38,166.0,341.0,244.5,58.3994862991,2445.0,10
1430,204.0,675.0,393.0,153.809134969,3537.0,9
1431,195.0,406.0,267.333333333,58.9473313967,3208.0,12
33,159.0,476.0,299.818181818,88.6778644103,3298.0,11
32,193.0,420.0,326.333333333,59.5029920307,3916.0,12
31,188.0,488.0,313.181818182,110.25408671,3445.0,11
37,137.0,505.0,332.666666667,128.613762872,2994.0,9
36,175.0,354.0,294.142857143,60.4246874807,2059.0,7
35,216.0,469.0,329.857142857,83.4214771935,2309.0,7
34,216.0,354.0,289.125,41.6531168444,2313.0,8
519,199.0,437.0,347.0,71.1463280852,3817.0,11
518,149.0,423.0,307.272727273,73.0357322262,3380.0,11
310,202.0,390.0,307.875,63.1312408513,2463.0,8
88,206.0,338.0,278.272727273,43.0861715846,3061.0,11
511,281.0,536.0,377.7,83.5132058752,3777.0,10
510,164.0,548.0,354.5,139.722144908,3545.0,10
513,321.0,422.0,365.666666667,41.4789103039,3291.0,9
512,198.0,840.0,455.714285714,248.408745341,3190.0,7
515,169.0,568.0,387.0,136.674796506,3483.0,9
514,168.0,787.0,419.555555556,185.142587693,3776.0,9
517,253.0,428.0,325.727272727,49.7415136663,3583.0,11
516,214.0,424.0,346.363636364,69.8903036583,3810.0,11
621,231.0,466.0,355.909090909,80.9066802501,3915.0,11
620,214.0,483.0,337.8,91.2819806972,3378.0,10
1222,294.0,459.0,369.727272727,58.4826314543,4067.0,11
1221,258.0,476.0,355.0,75.6174583016,3550.0,10
1220,317.0,559.0,397.375,72.4685892547,3179.0,8
86,203.0,402.0,284.545454545,71.3054887598,3130.0,11
722,221.0,386.0,302.384615385,61.3086976722,3931.0,13
319,152.0,516.0,340.5,111.552927149,3405.0,10
61,145.0,431.0,289.5,73.6965522815,3474.0,12
62,229.0,508.0,326.363636364,82.1014893011,3590.0,11
318,171.0,395.0,266.545454545,70.2030820354,2932.0,11
64,208.0,370.0,301.909090909,53.4386649262,3321.0,11
65,159.0,453.0,329.583333333,91.6737876022,3955.0,12
66,201.0,792.0,413.555555556,181.654280923,3722.0,9
67,236.0,399.0,312.307692308,46.7411036373,4060.0,13
68,251.0,533.0,358.5,104.56815959,3585.0,10
69,170.0,430.0,296.2,81.4531903747,2962.0,10
913,250.0,404.0,329.0,61.4947152201,1974.0,6
1421,145.0,399.0,267.545454545,71.6496526668,2943.0,11
1420,168.0,661.0,418.142857143,174.682024043,2927.0,7
1423,212.0,516.0,363.0,113.884151663,3993.0,11
1422,233.0,500.0,358.5,82.8348423739,3585.0,10
1425,216.0,405.0,320.777777778,67.8505301707,2887.0,9
1424,210.0,436.0,304.222222222,69.0684040966,2738.0,9
1427,212.0,617.0,397.571428571,166.243653656,2783.0,7
1426,184.0,850.0,470.571428571,205.33538187,3294.0,7
1429,267.0,448.0,322.090909091,59.6564406338,3543.0,11
1428,228.0,413.0,316.0,59.7555626928,3792.0,12
916,228.0,340.0,291.153846154,35.9903833309,3785.0,13
313,209.0,394.0,305.545454545,57.7847101513,3361.0,11
96,259.0,412.0,335.083333333,54.9718247391,4021.0,12
312,68.0,491.0,323.6,127.468688966,3236.0,10
419,255.0,460.0,321.2,65.0961681753,3212.0,10
1328,201.0,451.0,301.9,82.816329576,3019.0,10
418,46.0,46.0,46.0,0.0,46.0,1
1212,260.0,509.0,360.125,100.086302045,2881.0,8
1213,249.0,721.0,451.714285714,146.52498568,3162.0,7
1210,270.0,477.0,336.181818182,59.7006167168,3698.0,11
1211,254.0,373.0,311.545454545,37.0603929725,3427.0,11
1216,175.0,647.0,392.071428571,139.520863775,5489.0,14
1217,306.0,557.0,394.375,77.8642362431,3155.0,8
1214,308.0,469.0,389.3,56.2771909589,3893.0,10
1215,262.0,426.0,358.615384615,60.8817685649,4662.0,13
1218,231.0,436.0,308.538461538,49.7386760724,4011.0,13
1219,225.0,406.0,334.846153846,47.2014232728,4353.0,13
99,205.0,396.0,274.857142857,55.5903383178,3848.0,14
98,207.0,353.0,303.461538462,40.1779694705,3945.0,13
811,449.0,1057.0,755.4,235.996398278,3777.0,5
91,184.0,358.0,274.5,53.5853421085,2745.0,10
225,177.0,523.0,382.636363636,100.060254574,4209.0,11
224,335.0,506.0,433.333333333,64.0988819455,2600.0,6
