category,min,max,mean,stddev,sum,count
221,29.9,44.3,35.3,5.7001754359,211.8,6
220,26.7,33.2,30.4125,2.69201862655,243.3,8
11,6.6,6.6,6.6,nan,6.6,1
13,0.0,3.4,1.2652173913,0.757152978209,29.1,23
12,0.0,3.1,1.29473684211,0.816138389824,24.6,19
15,40.2,51.4,44.4142857143,3.5521958333,310.9,7
14,30.3,42.9,36.8,4.40064930274,294.4,8
17,23.2,40.5,30.9461538462,5.3168937336,402.3,13
16,39.1,57.7,47.45,6.19825244188,474.5,10
19,11.0,41.9,23.0105263158,8.40448919307,437.2,19
18,25.7,39.8,33.85,5.0662828802,338.5,10
618,26.8,42.1,32.1666666667,5.01622367922,289.5,9
92,11.4,16.4,13.6,1.55329561666,163.2,12
724,7.6,16.4,12.9545454545,2.68825729288,142.5,11
89,2.7,14.8,7.37777777778,3.44230220121,66.4,9
1519,19.8,31.8,24.3545454545,3.67270026993,267.9,11
1518,17.4,34.8,24.7307692308,4.41198833018,321.5,13
720,4.3,18.8,10.3538461538,5.0953598801,134.6,13
721,13.9,28.8,21.1833333333,4.91562135781,254.2,12
1515,6.0,24.4,15.06,6.24111813344,150.6,10
1514,11.0,38.5,20.4636363636,7.99203012097,225.1,11
1517,15.6,28.1,23.2083333333,3.55078949821,278.5,12
1516,13.8,25.4,19.8181818182,3.95216856468,218.0,11
1511,14.3,38.3,21.1307692308,6.0881557984,274.7,13
1510,13.2,31.6,22.2923076923,4.97819604851,289.8,13
1513,19.8,27.4,22.36,2.5378030744,223.6,10
1512,11.8,24.9,17.1222222222,3.68163610973,154.1,9
151,13.1,24.5,18.65,3.51451535518,223.8,12
153,17.5,52.6,26.2769230769,9.73397433787,341.6,13
152,14.6,30.8,20.41,4.97358578448,204.1,10
155,8.1,22.8,16.2928571429,4.38010612546,228.1,14
154,9.1,32.7,16.2714285714,5.57017173764,227.8,14
157,4.9,13.7,9.5,2.72330013703,114.0,12
156,18.9,33.9,22.9285714286,5.17581371564,160.5,7
159,4.7,23.5,11.2,6.27580387566,89.6,8
158,6.8,17.7,12.53,3.81868214615,125.3,10
816,1.0,3.4,1.81,0.778103106564,18.1,10
322,7.8,18.9,14.0333333333,3.72491610644,126.3,9
722,14.8,29.3,22.6769230769,3.9442265499,294.8,13
426,0.3,1.1,0.6,0.435889894354,1.8,3
87,0.0,2.5,1.2,0.758541109884,16.8,14
323,7.0,20.7,13.96,4.43125264457,139.6,10
81,0.0,1.3,0.791666666667,0.410007390916,9.5,12
63,19.1,26.7,23.25,2.34816713393,232.5,10
719,1.0,2.5,1.81666666667,0.636919670498,10.9,6
48,3.1,15.1,9.92727272727,4.08291339832,109.2,11
49,1.9,6.9,4.2,1.69803808359,29.4,7
46,9.1,19.1,15.4909090909,3.06706848487,170.4,11
47,6.3,18.8,12.9583333333,3.51372848678,155.5,12
44,6.2,13.6,9.01818181818,2.46852919036,99.2,11
45,3.8,17.8,10.6181818182,4.32037456289,116.8,11
42,2.2,8.6,6.28,1.891383973,62.8,10
43,3.2,10.2,6.98461538462,2.29123189349,90.8,13
41,1.3,6.6,3.65714285714,1.43458076734,51.2,14
1111,10.6,19.7,13.7555555556,3.16350719578,123.8,9
1110,18.5,29.1,22.81,3.25898757285,228.1,10
1113,17.0,24.9,20.7,2.21675438423,227.7,11
1112,14.6,20.9,18.46,2.20716006569,184.6,10
1115,13.0,22.5,16.4545454545,3.05462391674,181.0,11
1114,12.5,21.6,16.0857142857,2.95377079422,112.6,7
1117,12.0,14.9,13.6625,1.12749722838,109.3,8
1116,11.8,19.7,15.3,2.5551690529,153.0,10
1119,11.1,17.6,13.6333333333,1.90984292548,122.7,9
1118,8.6,20.5,14.1,3.876854395,126.9,9
817,4.6,11.0,8.5,2.59518785447,42.5,5
714,9.3,18.7,15.4461538462,2.66602556396,200.8,13
320,8.5,20.5,15.6909090909,3.49784349148,172.6,11
146,24.9,39.5,32.74,4.66409452925,327.4,10
147,20.0,41.5,26.9888888889,6.18838517799,242.9,9
144,33.0,55.5,41.46,6.39378170134,414.6,10
145,14.0,50.2,33.43,10.1421069474,334.3,10
142,35.3,53.3,43.19,5.20201883887,431.9,10
143,31.4,50.2,39.825,5.37200233534,477.9,12
912,5.5,11.2,8.78333333333,1.58448921126,105.4,12
141,30.6,52.8,42.58,6.79800624366,425.8,10
612,17.0,33.1,24.3,4.62719235508,291.6,12
613,24.3,34.9,30.9888888889,3.63367735374,278.9,9
610,17.0,31.7,26.35,4.91081572767,263.5,10
611,20.7,30.6,24.6,3.29410247429,246.0,10
616,25.8,39.8,32.1727272727,4.26851049175,353.9,11
617,20.3,31.4,26.2285714286,3.7606357112,183.6,7
148,24.2,40.2,29.7555555556,6.22718056409,267.8,9
149,34.7,46.8,41.2538461538,3.78166968957,536.3,13
77,11.2,28.2,17.1272727273,4.31881717814,188.4,11
76,13.8,26.3,18.6333333333,4.82726630713,167.7,9
75,16.2,32.6,24.9888888889,5.3585082916,224.9,9
74,12.7,36.1,24.71,8.75435764507,247.1,10
73,16.3,26.3,21.07,3.09804597914,210.7,10
711,20.0,32.2,28.05,3.95284707521,280.5,10
615,21.1,41.7,32.12,6.65645885171,321.2,10
710,21.5,30.1,24.65,2.72651588825,246.5,10
79,11.4,24.7,17.8818181818,4.32523252134,196.7,11
78,14.7,25.1,17.6375,3.17082120954,141.1,8
723,15.8,28.3,20.5666666667,4.86209831246,185.1,9
521,9.3,20.4,15.6272727273,2.89139790036,171.9,11
326,10.3,20.2,14.9444444444,2.72080461955,134.5,9
718,0.3,2.8,1.30909090909,0.790511916994,14.4,11
