category,min,max,mean,stddev,sum,count
811,19.0,49.0,35.8,11.8194754537,179.0,5
91,15.0,39.0,26.4,7.86271086981,264.0,10
225,61.0,183.0,118.0,34.3220046035,1298.0,11
224,147.0,192.0,160.0,17.5042851896,960.0,6
223,60.0,200.0,131.666666667,49.756909068,1185.0,9
222,98.0,230.0,159.5,51.6555902105,957.0,6
221,112.0,205.0,164.5,32.3836378438,987.0,6
220,76.0,151.0,106.75,24.7718157821,854.0,8
11,0.0,6.0,3.0,4.24264068712,6.0,2
13,0.0,6.0,2.65217391304,1.46500684616,61.0,23
12,0.0,9.0,2.52631578947,2.19515681679,48.0,19
15,105.0,218.0,143.142857143,41.2651126717,1002.0,7
14,145.0,259.0,192.875,35.4378228128,1543.0,8
17,16.0,107.0,55.6923076923,25.7370828941,724.0,13
16,66.0,246.0,142.1,60.9780470516,1421.0,10
19,8.0,85.0,39.4736842105,19.8196547258,750.0,19
18,52.0,223.0,122.6,70.2728017562,1226.0,10
95,24.0,52.0,37.1818181818,8.87488796344,409.0,11
618,76.0,172.0,121.888888889,34.9408229885,1097.0,9
92,27.0,61.0,43.8333333333,10.6926766216,526.0,12
724,25.0,52.0,44.5454545455,8.99292651325,490.0,11
89,8.0,57.0,22.3333333333,14.5430395722,201.0,9
1519,58.0,120.0,81.5454545455,17.5918369499,897.0,11
1518,37.0,110.0,61.4615384615,18.0213548539,799.0,13
720,11.0,61.0,30.5384615385,13.4078048453,397.0,13
721,25.0,120.0,72.9166666667,28.7385023123,875.0,12
1515,18.0,105.0,51.8,28.3697804793,518.0,10
1514,38.0,151.0,71.0,32.3975307701,781.0,11
1517,52.0,94.0,74.9166666667,12.4641911332,899.0,12
1516,38.0,90.0,64.5454545455,15.4555079914,710.0,11
1511,37.0,137.0,70.8461538462,31.1658096687,921.0,13
1510,41.0,110.0,71.3076923077,20.5847217429,927.0,13
1513,42.0,97.0,62.7,16.1936201429,627.0,10
1512,28.0,83.0,51.8888888889,15.9330195227,467.0,9
151,36.0,102.0,55.4166666667,17.5108191664,665.0,12
153,53.0,132.0,81.7692307692,23.5801959497,1063.0,13
152,31.0,72.0,51.2,13.2060592154,512.0,10
155,21.0,78.0,46.7857142857,16.5072411683,655.0,14
154,29.0,131.0,49.2857142857,25.9775896656,690.0,14
157,12.0,52.0,29.4166666667,11.6342623576,353.0,12
156,43.0,62.0,55.5714285714,6.80336051417,389.0,7
159,13.0,54.0,29.25,13.0027469625,234.0,8
158,16.0,64.0,42.0,15.4560308258,420.0,10
816,3.0,9.0,4.8,2.04396129557,48.0,10
322,22.0,57.0,43.2222222222,12.6073170994,389.0,9
718,1.0,7.0,4.09090909091,2.34326889001,45.0,11
426,1.0,3.0,1.66666666667,1.15470053838,5.0,3
87,0.0,9.0,5.28571428571,2.89372188947,74.0,14
323,19.0,76.0,44.0,17.7951304201,440.0,10
81,0.0,7.0,3.83333333333,2.32900030576,46.0,12
63,58.0,108.0,78.6,14.2376652268,786.0,10
719,4.0,11.0,7.33333333333,2.94392028878,44.0,6
48,3.0,75.0,32.0909090909,19.1491751543,353.0,11
49,5.0,14.0,10.0,2.94392028878,70.0,7
46,29.0,73.0,47.1818181818,12.9677922702,519.0,11
47,19.0,82.0,41.5833333333,17.2861391311,499.0,12
44,17.0,41.0,27.7272727273,8.90045964084,305.0,11
45,15.0,66.0,34.0,15.4725563499,374.0,11
42,7.0,31.0,17.3,7.43938468184,173.0,10
43,7.0,35.0,19.7692307692,8.34819188162,257.0,13
41,3.0,14.0,7.5,2.73861278753,105.0,14
1111,12.0,65.0,41.6666666667,16.5378354085,375.0,9
1110,52.0,120.0,81.8,21.2644721961,818.0,10
1113,56.0,84.0,69.2727272727,9.32835364993,762.0,11
1112,35.0,75.0,50.2,12.1545601868,502.0,10
1115,46.0,80.0,56.3636363636,9.912343086,620.0,11
1114,35.0,110.0,63.5714285714,23.2727103625,445.0,7
1117,37.0,50.0,44.125,4.67325215608,353.0,8
1116,34.0,66.0,47.1,13.4532110995,471.0,10
1119,37.0,52.0,41.6666666667,4.74341649025,375.0,9
1118,28.0,107.0,49.6666666667,23.926972228,447.0,9
817,15.0,31.0,20.2,6.260990337,101.0,5
714,27.0,59.0,45.1538461538,9.72836191972,587.0,13
320,23.0,89.0,50.4545454545,19.1747940608,555.0,11
146,53.0,202.0,125.7,41.5131839835,1257.0,10
147,56.0,167.0,85.1111111111,34.3163388361,766.0,9
144,106.0,274.0,162.4,50.0470889374,1624.0,10
145,50.0,252.0,127.3,69.7679487062,1273.0,10
142,115.0,235.0,157.1,41.5811121651,1571.0,10
143,68.0,318.0,139.75,64.977093866,1677.0,12
912,17.0,38.0,25.3333333333,5.53227445144,304.0,12
141,73.0,243.0,163.1,54.0811119215,1631.0,10
612,41.0,106.0,69.9166666667,22.7734228406,839.0,12
613,65.0,161.0,124.666666667,34.5036229982,1122.0,9
610,49.0,171.0,103.7,40.4586208366,1037.0,10
611,50.0,110.0,79.5,22.247346908,795.0,10
616,73.0,205.0,126.909090909,33.470747065,1396.0,11
617,77.0,199.0,114.142857143,40.7939071081,799.0,7
148,41.0,183.0,105.0,45.5384452963,945.0,9
149,82.0,221.0,158.461538462,45.3056570872,2060.0,13
77,28.0,100.0,51.9090909091,20.9783438119,571.0,11
76,34.0,89.0,60.0,20.8026440627,540.0,9
75,56.0,145.0,88.3333333333,30.1910582789,795.0,9
74,40.0,151.0,104.0,43.7340447097,1040.0,10
73,49.0,118.0,78.1,23.0480175093,781.0,10
711,63.0,144.0,98.6,28.2181974383,986.0,10
615,64.0,205.0,111.2,37.1357868729,1112.0,10
710,41.0,118.0,75.6,22.2171105232,756.0,10
79,30.0,73.0,53.2727272727,14.3044811796,586.0,11
78,42.0,80.0,60.0,10.4334626494,480.0,8
723,45.0,108.0,64.1111111111,21.0561418857,577.0,9
326,30.0,70.0,46.7777777778,12.285944996,421.0,9
